# cl_TT                  cl_TE                    cl_EE
2.143855350269249811e+03 -5.596656031709519752e+00 2.453533800998355663e-01
2.144940619480234091e+03 -5.044763545234524749e+00 2.436911053268067950e-01
2.145765253790964380e+03 -4.485339673826247875e+00 2.424771757511938464e-01
2.146330390431738124e+03 -3.919027278559795047e+00 2.417010580754199722e-01
2.146639242095007376e+03 -3.346107344140153650e+00 2.413642083984136599e-01
2.146689485069512102e+03 -2.766670522713949421e+00 2.414800469502611791e-01
2.146471639933734423e+03 -2.180944476591713865e+00 2.420731497362714202e-01
2.145980031520252396e+03 -1.589063646971037747e+00 2.431544315109115395e-01
2.145215307264083094e+03 -9.912684176136872249e-01 2.447392611153809128e-01
2.144167242951742082e+03 -3.876797175109394367e-01 2.468476987547580936e-01
2.142843169914372538e+03 2.214041674033520868e-01 2.494880063671081893e-01
2.141247213502836530e+03 8.357778108872431222e-01 2.526730843473514176e-01
2.139374767036784760e+03 1.455169090484308203e+00 2.564160252873710633e-01
2.137224064227543749e+03 2.079385182666971588e+00 2.607368276785600458e-01
2.134798252225851684e+03 2.708138693570873112e+00 2.656422075547599237e-01
2.132100764606821031e+03 3.341184507325376973e+00 2.711436745807726534e-01
2.129129261430644419e+03 3.978277561072366630e+00 2.772556947311300979e-01
2.125884582725137534e+03 4.619121236739621494e+00 2.839788391549496471e-01
2.122374058455347495e+03 5.263441388946720423e+00 2.913236472847144376e-01
2.118593393195957105e+03 5.910934993067638032e+00 2.993036013505757098e-01
2.114539243401432941e+03 6.561273148040531744e+00 3.079234498170189682e-01
2.110223461673331713e+03 7.214256297500245552e+00 3.171921362085638463e-01
2.105634622704990761e+03 7.869520066238344214e+00 3.271205437724361564e-01
2.100790418958549253e+03 8.526722827056408605e+00 3.376982056475502647e-01
2.095684133888851193e+03 9.185608829647771145e+00 3.489368574172241888e-01
2.090297932317163486e+03 9.845782255852833842e+00 3.609156564187130378e-01
2.084656029187547574e+03 1.050678282169083211e+01 3.735666485809362447e-01
2.078759330727073120e+03 1.116848464659955376e+01 3.868838972466009940e-01
2.072620938440852115e+03 1.183041751277075626e+01 4.008627815188659516e-01
2.066239776121536579e+03 1.249228589518518717e+01 4.155041251881987363e-01
2.059618705189387128e+03 1.315387052017573666e+01 4.308039567605896347e-01
2.052771166628090214e+03 1.381480494900169553e+01 4.467578568405836115e-01
2.045699249041811299e+03 1.447481881701852480e+01 4.633535535544340278e-01
2.038405255832072044e+03 1.513355449473585423e+01 4.805960230685479284e-01
2.030900239381825486e+03 1.579069797763934169e+01 4.984727773269648776e-01
2.023185511726948562e+03 1.644598137800994664e+01 5.169754530205734611e-01
2.015265036201891689e+03 1.709895338344023941e+01 5.360913737160128978e-01
2.007137829918746093e+03 1.774924540621811531e+01 5.558022204931822863e-01
1.998806646243428077e+03 1.839652207281091023e+01 5.760967275827227896e-01
1.990280211325398568e+03 1.904032243442526706e+01 5.969619418931908505e-01
1.981552324511945926e+03 1.968029145138233105e+01 6.183836638527873131e-01
1.972622182593959224e+03 2.031599475533340993e+01 6.403845266032527350e-01
