# cl_TT                  cl_TE                    cl_EE
2.900211773894145608e+03 -2.517407217305918721e+01 5.340166420285162863e-01
2.916775581877333479e+03 -2.503428065282855286e+01 5.298643594149102798e-01
2.933165593082177111e+03 -2.488027382649516284e+01 5.255865319599243302e-01
2.949377404545653917e+03 -2.471216004249937370e+01 5.211953446249726341e-01
2.965406613803848359e+03 -2.452982480317499281e+01 5.167029816280026555e-01
2.981248818880825638e+03 -2.433322789890177873e+01 5.121141980740808730e-01
2.996892189924701597e+03 -2.412232912477569258e+01 5.074486049884199268e-01
3.012347182592532590e+03 -2.389716256431033159e+01 5.027183842492468635e-01
3.027594539580140008e+03 -2.365768802265252546e+01 4.979357169228301738e-01
3.042629860703036684e+03 -2.340393959382513955e+01 4.931127832494167640e-01
3.057456174523593290e+03 -2.313609994447930518e+01 4.882766193305738689e-01
3.072062229729770479e+03 -2.285410277726894535e+01 4.834302810352680280e-01
3.086446509521469125e+03 -2.255785160701003633e+01 4.785923310987139079e-01
3.100600645521077240e+03 -2.224729811904295929e+01 4.737647803507718525e-01
3.114531126341838899e+03 -2.192231972184070798e+01 4.689496387358370599e-01
3.128237012507674990e+03 -2.158294239774425805e+01 4.641637720024159863e-01
3.141709936423093950e+03 -2.122919213616384937e+01 4.594166166414413444e-01
3.154956387393456680e+03 -2.086102065025533747e+01 4.547176082252949447e-01
3.167975426543600861e+03 -2.047845394407103115e+01 4.500687530458466479e-01
3.180758686787348324e+03 -2.008159231266685651e+01 4.454869131528433890e-01
3.193312657848152412e+03 -1.967023892465302026e+01 4.409889496402635833e-01
3.205628972828651058e+03 -1.924464265723306156e+01 4.365768659315422684e-01
3.217714121583136603e+03 -1.880475526113889728e+01 4.322608356499856863e-01
3.229567165639427913e+03 -1.835075134504976901e+01 4.280606882720337514e-01
3.241179738172902944e+03 -1.788265695791861276e+01 4.239873382333567697e-01
3.252558329032910024e+03 -1.740064672275436664e+01 4.200546702693087053e-01
3.263701999669511224e+03 -1.690489526931962416e+01 4.162743395480038577e-01
